,Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2020,2021,2022,2023,2024,2025,2026,2027,2028,career,pitcher,start_ratio,games
0,Freddie Freeman\freemfr01,30,10,Amateur Draft,9.033,Excel Sports Mana...,8 yrs/$135M (14-21),$22M,$22M,FA,,,,,,,"[-0.2, 1.5, 2.4, 5.3, 3.0, 3.0, 6.3, 4.7, 5.6, 4.0]",False,,"[20.0, 157.0, 147.0, 147.0, 162.0, 118.0, 158.0, 117.0, 162.0, 158.0]"
1,Ronald Acuna Jr.\acunaro01,22,2,Amateur Free Agent,1.159,Rep 1 Baseball,8 yrs/$100M (19-26) & 27-28 team option,$1M,$5M,$15M,$17M,$17M,$17M,$17M,$10M [FA-*],$0 [FA-*],"[4.2, 5.7]",False,,"[111.0, 156.0]"
2,Mark Melancon\melanma01,35,11,Traded,9.097999999999999,ISE Baseball,4 yrs/$62M (17-20),$14M,FA,,,,,,,,"[0.2, 0.0, 1.0, -0.6, 2.1, 2.4, 1.8, 2.8, 0.2, 0.0, 0.8999999999999999]",True,0.0,"[13.0, 22.0, 71.0, 41.0, 72.0, 72.0, 78.0, 75.0, 32.0, 41.0, 66.0]"
3,Will Smith\smithwi04,30,7,,6.155,CAA Sports,3 yrs/$40M (20-22) & 23 team option,$13M,$13M,$13M,$1M [FA-*],FA,,,,,"[0.1, 0.1, 0.1, 1.1, 0.2, 0.9, 2.2]",True,0.04735376044568245,"[16.0, 19.0, 78.0, 76.0, 53.0, 54.0, 63.0]"
4,Ozzie Albies\albieoz01,23,3,Amateur Free Agent,2.062,SportsMeter,7 yrs/$35M (19-25) & 26-27 team option,$1M,$3M,$5M,$7M,$7M,$7M,$4M [FA-*],$0 [FA-*],FA,"[1.3, 4.5, 5.2]",False,,"[57.0, 158.0, 160.0]"
5,Ender Inciarte\inciaen01,29,6,Traded,5.157,Octagon,5 yrs/$30.53M (17-21) & 22 team option,$7.7M,$8.7M,$1.02M [FA-*],FA,,,,,,"[3.3, 5.0, 3.8, 2.8, 3.3, 0.6]",False,,"[118.0, 132.0, 131.0, 157.0, 156.0, 65.0]"
6,Cole Hamels\hamelco01,36,14,,13.142999999999999,John Boggs,1 yr/$18M (20),$18M,FA,,,,,,,,"[2.3, 3.9999999999999996, 4.5, 2.1, 5.5, 6.300000000000001, 5.1, 4.1, 6.6000000000000005, 4.1000000000000005, 5.2, 3.0, 3.6, 3.1]",True,0.9976303317535545,"[23.0, 28.0, 33.0, 32.0, 33.0, 32.0, 31.0, 33.0, 30.0, 32.0, 32.0, 24.0, 32.0, 27.0]"
7,Marcell Ozuna\ozunama01,29,7,,6.124,Scott Boras,1 yr/$18M (20),$18M,FA,,,,,,,,"[0.9, 4.4, 0.9, 2.1, 5.7, 2.6, 1.9]",False,,"[70.0, 153.0, 123.0, 148.0, 159.0, 148.0, 130.0]"
8,Travis d'Arnaud\darnatr01,31,7,,6.044,Wasserman,2 yrs/$16M (20-21),$8M,$8M,FA,,,,,,,"[-0.3, 0.5, 1.5, -0.5, 1.3, -0.1, 1.0]",False,,"[31.0, 108.0, 67.0, 75.0, 112.0, 4.0, 103.0]"
9,Chris Martin\martich02,34,4,Traded,2.133,ISE Baseball,2 yrs/$14M (20-21),$7M,$7M,Arb,Arb,FA,,,,,"[-0.3, -0.1, 0.5, 1.5]",True,0.0,"[16.0, 24.0, 46.0, 58.0]"
10,Mike Foltynewicz\foltymi01,28,6,Traded,4.1339999999999995,Excel Sports Mana...,1 yr/$6.43M (20),$6.42M,Arb,FA,,,,,,,"[-0.1, -1.4, 1.4, 0.9999999999999999, 3.5, 0.5]",True,0.8540145985401459,"[16.0, 18.0, 22.0, 29.0, 31.0, 21.0]"
11,Shane Greene\greensh02,31,6,Traded,5.075,Turner-Gary Sport...,1 yr/$6.25M (20),$6.25M,FA,,,,,,,,"[0.7, -1.8, -0.4, 2.4, -0.5, 2.0]",True,0.0,"[15.0, 18.0, 50.0, 71.0, 66.0, 65.0]"
12,Nick Markakis\markani01,36,14,Free Agency,14.0,Jamie Murphy Octa...,1 yr/$4M (20),$4M,FA,,,,,,,,"[2.5, 4.2, 7.4, 2.9, 2.3, 2.7, 1.7, 0.4, 1.9, 2.0, 1.6, 0.8, 2.7, 1.0]",False,,"[147.0, 161.0, 157.0, 161.0, 160.0, 160.0, 104.0, 160.0, 155.0, 156.0, 158.0, 160.0, 162.0, 116.0]"
13,Tyler Flowers\flowety01,34,11,Free Agency,8.148,O'Connell Sports ...,1 yr/$4M (20),$4M,FA,,,,,,,,"[0.0, 0.0, 0.7, 1.1, -0.1, 2.3, 0.8, 0.4, 2.1, 0.7, -0.3]",False,,"[10.0, 8.0, 38.0, 52.0, 84.0, 127.0, 112.0, 83.0, 99.0, 82.0, 85.0]"
14,Adam Duvall\duvalad01,31,6,Traded,3.1510000000000002,CAA Sports,1 yr/$3.25M (20),$3.25M,Arb,Arb,FA,,,,,,"[-0.4, 0.1, 3.3, 2.1, 0.8999999999999999, 0.6]",False,,"[28.0, 27.0, 150.0, 157.0, 138.0, 41.0]"
15,Dansby Swanson\swansda01,26,4,Traded,3.0469999999999997,Excel Sports,1 yr/$3.15M (20),$3.15M,Arb,Arb,FA,,,,,,"[1.1, -0.3, 2.3, 1.5]",False,,"[38.0, 144.0, 136.0, 127.0]"
16,Darren O'Day\odayda01,37,12,Free Agency,11.103,Ballengee Group,1 yr/$2.75M (20) & 21 team option,$2.25M,$500k [FA-*],FA,,,,,,,"[0.1, 2.4, 2.4, 0.0, 2.5, 1.9, 2.4, 2.7, 0.5, 1.1, 0.4, 0.2]",True,0.0,"[30.0, 68.0, 72.0, 16.0, 69.0, 68.0, 68.0, 68.0, 34.0, 64.0, 20.0, 8.0]"
17,Luke Jackson\jackslu01,28,5,Free Agency,3.0189999999999997,Beverly Hills Spo...,1 yr/$1.83M (20),$1.82M,Arb,Arb,FA,,,,,,"[0.0, -0.7, 0.3, -0.2, 0.7]",True,0.0,"[7.0, 8.0, 43.0, 35.0, 70.0]"
18,Johan Camargo\camarjo01,26,3,Amateur Free Agent,2.137,,1 yr/$1.7M (20),$1.7M,Arb,Arb,Arb,FA,,,,,"[1.4, 3.6, -0.6]",False,,"[82.0, 134.0, 98.0]"
19,Adeiny Hechavarria\hechaad01,31,8,Free Agency,7.037000000000001,Magnus Sports,1 yr/$1M (20),$1M,FA,,,,,,,,"[0.1, -1.4, 1.2, 2.6, 1.0, 0.7, 0.5, 0.9000000000000001]",False,,"[41.0, 148.0, 146.0, 130.0, 155.0, 97.0, 94.0, 84.0]"
20,Grant Dayton\daytogr01,32,3,Waivers,3.0069999999999997,Full Circle Sport...,1 yr/$655k (20),$655k,Arb,Arb,FA,,,,,,"[0.7, -0.1, 0.2]",True,0.0,"[25.0, 29.0, 14.0]"
21,Felix Hernandez\hernafe02,34,15,,14.06,Alan Nero,1 yr/$100k (20),$100k,FA,,,,,,,,"[2.8, 1.2, 3.9, 4.2, 5.9, 7.2, 3.6, 5.3999999999999995, 5.1, 6.4, 4.6, 1.2, 0.7, -1.1, -0.6]",True,0.9976133651551312,"[12.0, 31.0, 30.0, 31.0, 34.0, 34.0, 33.0, 33.0, 31.0, 34.0, 31.0, 25.0, 16.0, 29.0, 15.0]"
22,Josh Tomlin\tomlijo01,35,10,Free Agency,9.033,SSG Baseball,1 yr/$100k (20),$100k,FA,,,,,,,,"[0.4, 2.4, -1.0, 0.1, -0.4, 2.0, 1.2000000000000002, 0.7, -1.0, 1.0]",True,0.6196581196581197,"[12.0, 26.0, 21.0, 1.0, 25.0, 10.0, 30.0, 26.0, 32.0, 51.0]"
23,Yonder Alonso\alonsyo01,33,10,,8.111,MVP Sports Group,1 yr/$100k (20),$100k,FA,,,,,,,,"[0.0, 0.2, 1.5, 0.8, 1.3, 1.9, -0.2, 2.1, 1.6, -0.9]",False,,"[22.0, 47.0, 155.0, 97.0, 84.0, 103.0, 156.0, 142.0, 145.0, 121.0]"
24,Charlie Culberson\culbech01,31,7,Free Agency,4.084,Ballengee Group,1 yr/$100k (20),$100k,Arb,FA,,,,,,,"[-0.2, -0.3, -1.6, 0.4, 0.0, 0.7, 0.0]",False,,"[6.0, 47.0, 95.0, 34.0, 15.0, 113.0, 108.0]"
25,Rafael Ortega\ortegra01,29,4,Free Agency,1.014,,1 yr/$100k (20),$100k,Pre-Arb,Arb,Arb,Arb,FA,,,,"[0.1, -0.4, -0.6, -0.3]",False,,"[2.0, 66.0, 41.0, 34.0]"
26,Shane Robinson\robinsh01,35,9,,5.058,CAA Sports,,Arb-3,FA,,,,,,,,"[-0.3, -0.2, 0.6, 0.8, -0.5, 0.3, 0.2, 0.1, -0.1]",False,,"[11.0, 9.0, 102.0, 99.0, 47.0, 83.0, 65.0, 20.0, 25.0]"
27,Yangervis Solarte\solarya01,32,6,,5.044,The Legacy Agency,,Arb-3,FA,,,,,,,,"[1.4, 2.3, 2.8, 1.1, -0.9, -0.4]",False,,"[131.0, 152.0, 109.0, 128.0, 122.0, 28.0]"
28,Chris Rusin\rusinch01,33,8,,4.169,Sports One Athlet...,,Arb-2,Arb-3,FA,,,,,,,"[-0.30000000000000004, 0.6, -0.2, 0.30000000000000004, 2.0, 2.5, -0.8, -0.2]",True,0.26063829787234044,"[7.0, 13.0, 4.0, 24.0, 29.0, 60.0, 49.0, 2.0]"
29,Pete Kozma\kozmape01,32,7,,3.094,Hendricks Sports,,Arb-1,Arb-2,Arb-3,FA,,,,,,"[0.0, 1.2, -0.3, 0.2, -0.8, -1.0, 0.3]",False,,"[16.0, 26.0, 143.0, 14.0, 76.0, 39.0, 27.0]"
30,A.J. Minter\minteaj01,26,3,Amateur Draft,1.162,SSG Baseball,,Pre-Arb-2,Arb-1,Arb-2,Arb-3,Arb-4,FA,,,,"[0.4, 0.8, -0.8]",True,0.0,"[16.0, 65.0, 36.0]"
31,Sean Newcomb\newcose01,27,3,Traded,2.108,The Legacy Agency,,Pre-Arb-3,Arb-1,Arb-2,Arb-3,FA,,,,,"[1.0999999999999999, 1.2000000000000002, 1.0999999999999999]",True,0.5047619047619047,"[19.0, 31.0, 55.0]"
32,Tyler Matzek\matzety01,29,2,,1.0190000000000001,The Legacy Agency,,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,Arb-3,FA,,,,"[2.1, 0.8]",True,0.96,"[20.0, 5.0]"
33,Chad Sobotka\sobotch01,26,2,Amateur Draft,1.003,,,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,Arb-3,FA,,,,"[0.5, -0.4]",True,0.0,"[14.0, 32.0]"
34,Peter O'Brien\obriepe01,29,4,,1.0,,,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,Arb-3,FA,,,,"[0.1, -0.7, 0.5, -0.7]",False,,"[8.0, 28.0, 22.0, 14.0]"
35,Max Fried\friedma01,26,3,Traded,1.148,CAA Sports,,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,Arb-3,FA,,,,"[0.2, 0.7, 3.0]",True,0.6964285714285714,"[9.0, 14.0, 33.0]"
36,Mike Soroka\sorokmi01,22,2,Amateur Draft,1.146,,,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,Arb-3,FA,,,,"[-0.1, 5.5]",True,1.0,"[5.0, 29.0]"
37,Jacob Webb\webbja01,26,1st,Amateur Draft,0.155,,,Pre-Arb,Pre-Arb-2,Arb-1,Arb-2,Arb-3,Arb-4,FA,,,[0.9],True,0.0,[36.0]
38,Touki Toussaint\toussto01,24,2,Traded,0.14,,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,Arb-3,FA,,,"[0.3, -0.5]",True,0.1935483870967742,"[7.0, 24.0]"
39,Bryse Wilson\wilsobr02,22,2,Amateur Draft,0.087,,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,Arb-3,FA,,,"[-0.1, -0.5]",True,0.5555555555555556,"[3.0, 6.0]"
40,Austin Riley\rileyau01,23,1st,Amateur Draft,0.138,,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,Arb-3,FA,,,[0.1],False,,[80.0]
41,Ben Rowen\rowenbe01,31,2,,0.061,,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,Arb-3,FA,,,"[0.1, -0.3]",True,0.0,"[8.0, 4.0]"
42,Jose Fernandez\fernajo04,27,2,,0.046,,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,Arb-3,FA,,,"[-0.1, -0.4]",True,0.0,"[13.0, 4.0]"
43,Alex Jackson\jacksal02,24,1st,Traded,0.04,,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,Arb-3,FA,,,[-0.3],False,,[4.0]
44,Kyle Wright\wrighky01,24,2,Amateur Draft,0.076,,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,Arb-3,FA,,,"[0.0, -0.6]",True,0.36363636363636365,"[4.0, 7.0]"
45,Jeremy Walker\walkeje02,25,1st,Amateur Draft,0.039,,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,Arb-3,FA,,,[0.2],True,0.0,[6.0]
46,Huascar Ynoa\ynoahu01,22,1st,Traded,0.008,Wasserman,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,Arb-3,FA,,,[-0.2],True,0.0,[2.0]
