,Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2020,2021,2022,2023,2024,2025,career,pitcher,start_ratio,games
0,Wei-Yin Chen\chenwe02,34,8,,8.0,Scott Boras,1 yr/$100k (20)5 yrs/$80M (16-20),$22M,FA,,,,,"[2.4, 1.5, 1.9, 3.4, -0.7, 0.4, 0.0, -1.1]",True,0.776255707762557,"[32.0, 23.0, 31.0, 31.0, 22.0, 9.0, 26.0, 45.0]"
1,Kyle Seager\seageky01,32,9,Amateur Draft,8.085,Jet Sports Manage...,7 yrs/$100M (15-21) & 22 team option,$19.5M,$18.5M,$0 [FA-*],FA,,,"[0.9, 2.8, 3.9, 6.3, 5.4, 6.7, 3.5, 0.3, 2.8]",False,,"[53.0, 155.0, 160.0, 159.0, 161.0, 158.0, 154.0, 155.0, 106.0]"
2,Dee Gordon\gordode01,32,9,Traded,7.154,Rep 1 Baseball,5 yrs/$50M (16-20) & 21 team option,$13.8M,$1M [FA-*],FA,,,,"[0.6, -1.2, -0.1, 3.5, 4.3, 0.3, 3.6, 0.6, 0.8]",False,,"[56.0, 87.0, 38.0, 148.0, 145.0, 79.0, 158.0, 141.0, 117.0]"
3,Yusei Kikuchi\kikucyu01,29,1st,Free Agency,1.0,,3 yrs/$43M (19-21) & 22-25 team option,$16M,$17M,$0 [Arb-*],$0 [Arb-*],$0 [Arb-*],$0 [FA-*],[0.6],True,1.0,[32.0]
4,Marco Gonzales\gonzama02,28,5,Traded,2.102,CAA Sports,2 yrs/$1.9M (19-20)4 yrs/$30M (21-24) & 25 team option,$1M,$5.25M,$5.75M,$6.75M,$12.25M,$0 [FA-*],"[0.4, -0.2, -0.1, 2.6, 3.5]",True,1.0,"[10.0, 1.0, 11.0, 29.0, 34.0]"
5,Mitch Haniger\hanigmi01,29,4,Traded,3.048,Sosnick Cobbe & K...,1 yr/$3.01M (20),$3.01M,Arb,Arb,FA,,,"[-0.1, 3.1, 6.2, 1.3]",False,,"[34.0, 96.0, 157.0, 63.0]"
6,Mallex Smith\smithma05,27,4,Traded,3.125,Reynolds Sports,1 yr/$2.35M (20),$2.35M,Arb,Arb,FA,,,"[1.0, 1.5, 3.6, -0.1]",False,,"[72.0, 81.0, 141.0, 134.0]"
7,Taijuan Walker\walketa01,27,7,Amateur Draft,5.142,Excel Sports Mana...,1 yr/$2M (20),$2M,FA,,,,,"[0.1, 0.9, 1.2, 0.3, 3.0, 0.1, 0.1]",True,0.9690721649484536,"[3.0, 8.0, 29.0, 25.0, 28.0, 3.0, 1.0]"
8,Kendall Graveman\graveke01,29,5,,4.078,Sports One Athlet...,1 yr/$2M (20) & 21 team option,$1.5M,$500k [Arb-*],FA,,,,"[0.1, 1.1, 3.4, 1.9, -1.0]",True,0.9397590361445783,"[5.0, 21.0, 31.0, 19.0, 7.0]"
9,Yoshihisa Hirano\hiranyo01,36,2,,2.0,,1 yr/$1.6M (20),$1.6M,Arb,Arb,Arb,FA,,"[1.1, -0.4]",True,0.0,"[75.0, 62.0]"
