,Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2020,2021,2022,2023,career,pitcher,start_ratio,games
0,Ian Kennedy\kenneia01,35,14,Free Agency,10.124,Scott Boras,5 yrs/$70M (16-20),$16.5M,FA,,,"[0.6, -0.9, 0.1, 3.5, 4.8, 2.1, -1.2, 1.8, -0.4, 4.3, 0.7999999999999999, 0.9, 1.4]",True,0.0,"[3.0, 10.0, 1.0, 32.0, 33.0, 33.0, 31.0, 33.0, 30.0, 33.0, 30.0, 22.0, 63.0]"
1,Danny Duffy\duffyda01,31,10,Amateur Draft,8.085,ACES (Sam & Seth ...,5 yrs/$65M (17-21),$15.25M,$15.5M,FA,,"[-0.1, 0.4, 1.0, 3.8, 1.6, 4.0, 3.7, 1.1, 1.9]",True,1.0,"[20.0, 6.0, 5.0, 31.0, 30.0, 42.0, 24.0, 28.0, 23.0]"
2,Salvador Perez\perezsa02,30,9,Amateur Free Agent,8.05,Beverly Hills Spo...,5 yrs/$52.5M (17-21),$14.2M,$14.2M,FA,,"[1.5, 3.0, 4.2, 3.6, 2.4, 2.9, 2.5, 2.2]",False,,"[39.0, 76.0, 138.0, 150.0, 142.0, 139.0, 129.0, 129.0]"
3,Whit Merrifield\merriwh01,31,5,Amateur Draft,3.1010000000000004,The L. Warner Com...,4 yrs/$16.25M (19-22) & 23 team option,$5M,$6.75M,$2.75M,$750k [FA-*],"[1.5, 3.0, 5.2, 3.7]",False,,"[81.0, 145.0, 158.0, 162.0]"
4,Jorge Soler\solerjo01,28,7,Traded,4.143,ACES,1 yr/$7.3M (20),$7.3M,Arb,FA,,"[0.9, 0.0, 0.2, -1.2, 0.6, 3.6]",False,,"[24.0, 101.0, 86.0, 35.0, 61.0, 162.0]"
5,Alex Gordon\gordoal01,36,14,Free Agency,12.092,Casey Close,1 yr/$4M (20),$4M,FA,,,"[2.0, 2.8, 0.3, -0.5, 7.3, 6.3, 4.1, 6.1, 2.6, 0.7, -0.2, 2.1, 1.5]",False,,"[151.0, 134.0, 49.0, 74.0, 151.0, 161.0, 156.0, 156.0, 104.0, 128.0, 148.0, 141.0, 150.0]"
6,Mike Montgomery\montgmi01,30,6,Traded,4.0889999999999995,TWC Sports,1 yr/$3.1M (20),$3.1M,Arb,FA,,"[0.6, 2.1, 2.3000000000000003, 0.9000000000000001, 0.3]",True,1.0,"[16.0, 49.0, 44.0, 38.0, 33.0]"
7,Maikel Franco\francma02,27,7,Free Agency,4.157,Octagon,1 yr/$2.95M (20),$2.95M,Arb,FA,,"[-0.4, 1.8, 0.6, -0.1, 0.0, -0.6]",False,,"[16.0, 80.0, 152.0, 154.0, 131.0, 123.0]"
8,Greg Holland\hollagr01,34,10,Free Agency,7.162999999999999,Boras Corporation,1 yr/$100k (20),$100k,FA,,,"[-0.2, 2.6, 1.9, 3.2, 2.6, 0.3, 1.5, -0.09999999999999987, 0.0]",True,0.0,"[15.0, 46.0, 67.0, 68.0, 65.0, 48.0, 61.0, 56.0, 40.0]"
9,Trevor Rosenthal\rosentr01,30,8,Free Agency,6.001,Scott Boras,1 yr/$100k (20),$100k,FA,,,"[0.4, 1.5, 0.8, 2.7, 0.0, 0.6, -1.2]",True,0.0,"[19.0, 74.0, 72.0, 68.0, 45.0, 50.0, 22.0]"
